cell_barcode,donor,guide,condition,batch,lane,pathway_score,nc_unit,nc_split
cell_4_13,donor_1,guide_4,targeting,batch_1,lane_2,-2.2058,,
cell_4_14,donor_1,guide_4,targeting,batch_1,lane_3,-0.9489,,
cell_4_15,donor_1,guide_4,targeting,batch_1,lane_1,-0.4128,,
cell_4_16,donor_1,guide_4,targeting,batch_1,lane_2,-0.5955,,
cell_4_17,donor_1,guide_4,targeting,batch_1,lane_3,-2.3451,,
cell_4_18,donor_1,guide_4,targeting,batch_1,lane_1,1.3089,,
cell_4_19,donor_1,guide_4,targeting,batch_1,lane_2,-0.3418,,
cell_4_20,donor_1,guide_4,targeting,batch_1,lane_3,-1.5004,,
cell_4_21,donor_1,guide_4,targeting,batch_1,lane_1,-1.1546,,
cell_4_22,donor_1,guide_4,targeting,batch_1,lane_2,-0.5645,,
cell_4_23,donor_1,guide_4,targeting,batch_1,lane_3,-0.5313,,
cell_4_24,donor_1,guide_4,targeting,batch_1,lane_1,1.5208,,
cell_4_25,donor_1,guide_4,targeting,batch_1,lane_2,-2.5529,,
cell_4_26,donor_1,guide_4,targeting,batch_1,lane_3,-0.808,,
cell_4_27,donor_1,guide_4,targeting,batch_1,lane_1,-0.2459,,
cell_4_28,donor_1,guide_4,targeting,batch_1,lane_2,-1.7646,,
cell_4_29,donor_1,guide_4,targeting,batch_1,lane_3,-0.9072,,
cell_4_30,donor_1,guide_4,targeting,batch_1,lane_1,0.5475,,
cell_4_31,donor_1,guide_4,targeting,batch_1,lane_2,-1.1415,,
cell_4_32,donor_1,guide_4,targeting,batch_1,lane_3,-0.5589,,
cell_4_33,donor_1,guide_4,targeting,batch_1,lane_1,-1.5718,,
cell_4_34,donor_1,guide_4,targeting,batch_1,lane_2,0.324,,
cell_4_35,donor_1,guide_4,targeting,batch_1,lane_3,-1.9791,,
cell_4_36,donor_1,guide_4,targeting,batch_1,lane_1,-1.077,,
cell_4_37,donor_1,guide_4,targeting,batch_1,lane_2,-1.252,,
cell_4_38,donor_1,guide_4,targeting,batch_1,lane_3,-0.1024,,
cell_4_39,donor_1,guide_4,targeting,batch_1,lane_1,0.752,,
cell_5_0,donor_1,guide_5,targeting,batch_1,lane_1,-1.0348,,
cell_5_1,donor_1,guide_5,targeting,batch_1,lane_2,-1.5234,,
cell_5_2,donor_1,guide_5,targeting,batch_1,lane_3,-1.8225,,
cell_5_3,donor_1,guide_5,targeting,batch_1,lane_1,-1.0029,,
cell_5_4,donor_1,guide_5,targeting,batch_1,lane_2,-1.1549,,
cell_5_5,donor_1,guide_5,targeting,batch_1,lane_3,-0.8811,,
cell_5_6,donor_1,guide_5,targeting,batch_1,lane_1,-0.9904,,
cell_5_7,donor_1,guide_5,targeting,batch_1,lane_2,-1.5167,,
cell_5_8,donor_1,guide_5,targeting,batch_1,lane_3,-1.5093,,
cell_5_9,donor_1,guide_5,targeting,batch_1,lane_1,0.1712,,
cell_5_10,donor_1,guide_5,targeting,batch_1,lane_2,-1.9213,,
cell_5_11,donor_1,guide_5,targeting,batch_1,lane_3,-2.4633,,
cell_5_12,donor_1,guide_5,targeting,batch_1,lane_1,-1.411,,
cell_5_13,donor_1,guide_5,targeting,batch_1,lane_2,-0.3017,,
cell_5_14,donor_1,guide_5,targeting,batch_1,lane_3,0.0286,,
cell_5_15,donor_1,guide_5,targeting,batch_1,lane_1,-2.7939,,
cell_5_16,donor_1,guide_5,targeting,batch_1,lane_2,-3.0447,,
cell_5_17,donor_1,guide_5,targeting,batch_1,lane_3,-1.4684,,
cell_5_18,donor_1,guide_5,targeting,batch_1,lane_1,-1.0966,,
cell_5_19,donor_1,guide_5,targeting,batch_1,lane_2,-2.5595,,
cell_5_20,donor_1,guide_5,targeting,batch_1,lane_3,-1.0305,,
cell_5_21,donor_1,guide_5,targeting,batch_1,lane_1,-1.2255,,
cell_5_22,donor_1,guide_5,targeting,batch_1,lane_2,-1.6325,,
cell_5_23,donor_1,guide_5,targeting,batch_1,lane_3,-1.0414,,
cell_5_24,donor_1,guide_5,targeting,batch_1,lane_1,-0.902,,
cell_5_25,donor_1,guide_5,targeting,batch_1,lane_2,-0.6757,,
cell_5_26,donor_1,guide_5,targeting,batch_1,lane_3,-1.6443,,
cell_5_27,donor_1,guide_5,targeting,batch_1,lane_1,-1.8975,,
cell_5_28,donor_1,guide_5,targeting,batch_1,lane_2,-2.4031,,
cell_5_29,donor_1,guide_5,targeting,batch_1,lane_3,-2.1781,,
cell_5_30,donor_1,guide_5,targeting,batch_1,lane_1,-1.4509,,
cell_5_31,donor_1,guide_5,targeting,batch_1,lane_2,-1.9065,,
cell_5_32,donor_1,guide_5,targeting,batch_1,lane_3,-1.2394,,
cell_5_33,donor_1,guide_5,targeting,batch_1,lane_1,-3.0764,,
cell_5_34,donor_1,guide_5,targeting,batch_1,lane_2,-1.1305,,
cell_5_35,donor_1,guide_5,targeting,batch_1,lane_3,-2.2999,,
cell_5_36,donor_1,guide_5,targeting,batch_1,lane_1,-1.1402,,
cell_5_37,donor_1,guide_5,targeting,batch_1,lane_2,-1.8795,,
cell_5_38,donor_1,guide_5,targeting,batch_1,lane_3,-2.0984,,
cell_5_39,donor_1,guide_5,targeting,batch_1,lane_1,-2.1803,,
cell_6_0,donor_1,guide_6,targeting,batch_1,lane_1,-1.0079,,
cell_6_1,donor_1,guide_6,targeting,batch_1,lane_2,0.2648,,
cell_6_2,donor_1,guide_6,targeting,batch_1,lane_3,-0.9161,,
cell_6_3,donor_1,guide_6,targeting,batch_1,lane_1,-0.1617,,
cell_6_4,donor_1,guide_6,targeting,batch_1,lane_2,-0.2836,,
cell_6_5,donor_1,guide_6,targeting,batch_1,lane_3,-0.8907,,
cell_6_6,donor_1,guide_6,targeting,batch_1,lane_1,-1.1497,,
cell_6_7,donor_1,guide_6,targeting,batch_1,lane_2,-1.2063,,
cell_6_8,donor_1,guide_6,targeting,batch_1,lane_3,-0.1402,,
cell_6_9,donor_1,guide_6,targeting,batch_1,lane_1,-1.6015,,
cell_6_10,donor_1,guide_6,targeting,batch_1,lane_2,-0.4964,,
cell_6_11,donor_1,guide_6,targeting,batch_1,lane_3,-0.7967,,
cell_6_12,donor_1,guide_6,targeting,batch_1,lane_1,-2.1722,,
cell_6_13,donor_1,guide_6,targeting,batch_1,lane_2,-1.5997,,
cell_6_14,donor_1,guide_6,targeting,batch_1,lane_3,-0.1227,,
cell_6_15,donor_1,guide_6,targeting,batch_1,lane_1,-0.6869,,
cell_6_16,donor_1,guide_6,targeting,batch_1,lane_2,-0.7843,,
cell_6_17,donor_1,guide_6,targeting,batch_1,lane_3,0.5876,,
cell_6_18,donor_1,guide_6,targeting,batch_1,lane_1,-1.1573,,
cell_6_19,donor_1,guide_6,targeting,batch_1,lane_2,-0.8694,,
cell_6_20,donor_1,guide_6,targeting,batch_1,lane_3,-0.2086,,
cell_6_21,donor_1,guide_6,targeting,batch_1,lane_1,-1.085,,
cell_6_22,donor_1,guide_6,targeting,batch_1,lane_2,-2.0249,,
cell_6_23,donor_1,guide_6,targeting,batch_1,lane_3,-0.8864,,
cell_6_24,donor_1,guide_6,targeting,batch_1,lane_1,-0.7659,,
cell_6_25,donor_1,guide_6,targeting,batch_1,lane_2,-1.009,,
cell_6_26,donor_1,guide_6,targeting,batch_1,lane_3,1.6988,,
cell_6_27,donor_1,guide_6,targeting,batch_1,lane_1,-2.1935,,
cell_6_28,donor_1,guide_6,targeting,batch_1,lane_2,0.9983,,
cell_6_29,donor_1,guide_6,targeting,batch_1,lane_3,0.6263,,
cell_6_30,donor_1,guide_6,targeting,batch_1,lane_1,-1.3342,,
cell_6_31,donor_1,guide_6,targeting,batch_1,lane_2,-0.7877,,
cell_6_32,donor_1,guide_6,targeting,batch_1,lane_3,-2.5922,,
cell_6_33,donor_1,guide_6,targeting,batch_1,lane_1,-0.2225,,
cell_6_34,donor_1,guide_6,targeting,batch_1,lane_2,-2.4725,,
cell_6_35,donor_1,guide_6,targeting,batch_1,lane_3,-0.0983,,
cell_6_36,donor_1,guide_6,targeting,batch_1,lane_1,-1.7595,,
cell_6_37,donor_1,guide_6,targeting,batch_1,lane_2,0.2603,,
cell_6_38,donor_1,guide_6,targeting,batch_1,lane_3,-1.8527,,
cell_6_39,donor_1,guide_6,targeting,batch_1,lane_1,-0.8178,,
cell_7_0,donor_1,guide_7,targeting,batch_1,lane_1,1.7044,,
cell_7_1,donor_1,guide_7,targeting,batch_1,lane_2,-2.203,,
cell_7_2,donor_1,guide_7,targeting,batch_1,lane_3,0.4812,,
cell_7_3,donor_1,guide_7,targeting,batch_1,lane_1,0.4567,,
cell_7_4,donor_1,guide_7,targeting,batch_1,lane_2,0.6877,,
cell_7_5,donor_1,guide_7,targeting,batch_1,lane_3,-1.8025,,
cell_7_6,donor_1,guide_7,targeting,batch_1,lane_1,1.8591,,
cell_7_7,donor_1,guide_7,targeting,batch_1,lane_2,-0.6361,,
cell_7_8,donor_1,guide_7,targeting,batch_1,lane_3,-0.4165,,
cell_7_9,donor_1,guide_7,targeting,batch_1,lane_1,-1.6108,,
cell_7_10,donor_1,guide_7,targeting,batch_1,lane_2,0.4983,,
cell_7_11,donor_1,guide_7,targeting,batch_1,lane_3,-0.7075,,
cell_7_12,donor_1,guide_7,targeting,batch_1,lane_1,1.0778,,
cell_7_13,donor_1,guide_7,targeting,batch_1,lane_2,-0.8681,,
cell_7_14,donor_1,guide_7,targeting,batch_1,lane_3,1.7576,,
cell_7_15,donor_1,guide_7,targeting,batch_1,lane_1,-1.1356,,
cell_7_16,donor_1,guide_7,targeting,batch_1,lane_2,-0.3766,,
cell_7_17,donor_1,guide_7,targeting,batch_1,lane_3,-2.5565,,
cell_7_18,donor_1,guide_7,targeting,batch_1,lane_1,0.7061,,
cell_7_19,donor_1,guide_7,targeting,batch_1,lane_2,0.8372,,
cell_7_20,donor_1,guide_7,targeting,batch_1,lane_3,-0.0257,,
cell_7_21,donor_1,guide_7,targeting,batch_1,lane_1,-1.3302,,
cell_7_22,donor_1,guide_7,targeting,batch_1,lane_2,1.6207,,
cell_7_23,donor_1,guide_7,targeting,batch_1,lane_3,0.6107,,
cell_7_24,donor_1,guide_7,targeting,batch_1,lane_1,0.0437,,
cell_7_25,donor_1,guide_7,targeting,batch_1,lane_2,0.8899,,
cell_7_26,donor_1,guide_7,targeting,batch_1,lane_3,-1.6646,,
cell_7_27,donor_1,guide_7,targeting,batch_1,lane_1,2.0443,,
cell_7_28,donor_1,guide_7,targeting,batch_1,lane_2,-2.126,,
cell_7_29,donor_1,guide_7,targeting,batch_1,lane_3,-0.7325,,
cell_7_30,donor_1,guide_7,targeting,batch_1,lane_1,0.2518,,
cell_7_31,donor_1,guide_7,targeting,batch_1,lane_2,0.1311,,
cell_7_32,donor_1,guide_7,targeting,batch_1,lane_3,-0.5215,,
cell_7_33,donor_1,guide_7,targeting,batch_1,lane_1,1.3337,,
cell_7_34,donor_1,guide_7,targeting,batch_1,lane_2,-1.2677,,
cell_7_35,donor_1,guide_7,targeting,batch_1,lane_3,-0.4459,,
cell_7_36,donor_1,guide_7,targeting,batch_1,lane_1,1.0067,,
cell_7_37,donor_1,guide_7,targeting,batch_1,lane_2,0.4908,,
cell_7_38,donor_1,guide_7,targeting,batch_1,lane_3,-0.7349,,
cell_7_39,donor_1,guide_7,targeting,batch_1,lane_1,1.032,,
cell_8_0,donor_1,guide_8,targeting,batch_1,lane_1,-3.3325,,
cell_8_1,donor_1,guide_8,targeting,batch_1,lane_2,-1.2649,,
cell_8_2,donor_1,guide_8,targeting,batch_1,lane_3,-2.5041,,
cell_8_3,donor_1,guide_8,targeting,batch_1,lane_1,-3.5955,,
cell_8_4,donor_1,guide_8,targeting,batch_1,lane_2,0.1995,,
cell_8_5,donor_1,guide_8,targeting,batch_1,lane_3,-1.7982,,
cell_8_6,donor_1,guide_8,targeting,batch_1,lane_1,-0.3978,,
cell_8_7,donor_1,guide_8,targeting,batch_1,lane_2,-2.4213,,
cell_8_8,donor_1,guide_8,targeting,batch_1,lane_3,-2.1631,,
cell_8_9,donor_1,guide_8,targeting,batch_1,lane_1,-2.6683,,
cell_8_10,donor_1,guide_8,targeting,batch_1,lane_2,-0.7019,,
cell_8_11,donor_1,guide_8,targeting,batch_1,lane_3,-2.3229,,
cell_8_12,donor_1,guide_8,targeting,batch_1,lane_1,0.9187,,
cell_8_13,donor_1,guide_8,targeting,batch_1,lane_2,-2.1004,,
cell_8_14,donor_1,guide_8,targeting,batch_1,lane_3,-1.3983,,
cell_8_15,donor_1,guide_8,targeting,batch_1,lane_1,-2.6121,,
cell_8_16,donor_1,guide_8,targeting,batch_1,lane_2,-1.3163,,
cell_8_17,donor_1,guide_8,targeting,batch_1,lane_3,-1.3945,,
cell_8_18,donor_1,guide_8,targeting,batch_1,lane_1,-1.3608,,
cell_8_19,donor_1,guide_8,targeting,batch_1,lane_2,-3.5297,,
cell_8_20,donor_1,guide_8,targeting,batch_1,lane_3,-1.5961,,
cell_8_21,donor_1,guide_8,targeting,batch_1,lane_1,-2.8044,,
cell_8_22,donor_1,guide_8,targeting,batch_1,lane_2,-0.776,,
cell_8_23,donor_1,guide_8,targeting,batch_1,lane_3,-2.401,,
cell_8_24,donor_1,guide_8,targeting,batch_1,lane_1,-2.1083,,
cell_8_25,donor_1,guide_8,targeting,batch_1,lane_2,-1.9991,,
cell_8_26,donor_1,guide_8,targeting,batch_1,lane_3,-1.8193,,
cell_8_27,donor_1,guide_8,targeting,batch_1,lane_1,-1.9693,,
cell_8_28,donor_1,guide_8,targeting,batch_1,lane_2,-4.3814,,
cell_8_29,donor_1,guide_8,targeting,batch_1,lane_3,-2.3468,,
cell_8_30,donor_1,guide_8,targeting,batch_1,lane_1,-0.9602,,
cell_8_31,donor_1,guide_8,targeting,batch_1,lane_2,-1.9174,,
cell_8_32,donor_1,guide_8,targeting,batch_1,lane_3,-2.3276,,
cell_8_33,donor_1,guide_8,targeting,batch_1,lane_1,-2.4833,,
cell_8_34,donor_1,guide_8,targeting,batch_1,lane_2,-3.578,,
cell_8_35,donor_1,guide_8,targeting,batch_1,lane_3,-1.9497,,
cell_8_36,donor_1,guide_8,targeting,batch_1,lane_1,-1.739,,
cell_8_37,donor_1,guide_8,targeting,batch_1,lane_2,-2.8182,,
cell_8_38,donor_1,guide_8,targeting,batch_1,lane_3,-2.7245,,
cell_8_39,donor_1,guide_8,targeting,batch_1,lane_1,-3.8637,,
cell_9_0,donor_1,guide_9,non_targeting,batch_1,lane_1,-0.2347,guide_9_a,a
cell_9_1,donor_1,guide_9,non_targeting,batch_1,lane_2,0.0091,guide_9_b,b
cell_9_2,donor_1,guide_9,non_targeting,batch_1,lane_3,-0.0243,guide_9_a,a
cell_9_3,donor_1,guide_9,non_targeting,batch_1,lane_1,-0.0066,guide_9_b,b
cell_9_4,donor_1,guide_9,non_targeting,batch_1,lane_2,-0.2203,guide_9_a,a
cell_9_5,donor_1,guide_9,non_targeting,batch_1,lane_3,-0.5396,guide_9_b,b
cell_9_6,donor_1,guide_9,non_targeting,batch_1,lane_1,-1.9195,guide_9_a,a
cell_9_7,donor_1,guide_9,non_targeting,batch_1,lane_2,0.297,guide_9_b,b
cell_9_8,donor_1,guide_9,non_targeting,batch_1,lane_3,1.8248,guide_9_a,a
cell_9_9,donor_1,guide_9,non_targeting,batch_1,lane_1,-2.6815,guide_9_b,b
cell_9_10,donor_1,guide_9,non_targeting,batch_1,lane_2,1.485,guide_9_a,a
cell_9_11,donor_1,guide_9,non_targeting,batch_1,lane_3,0.0553,guide_9_b,b
cell_9_12,donor_1,guide_9,non_targeting,batch_1,lane_1,0.3234,guide_9_a,a
cell_9_13,donor_1,guide_9,non_targeting,batch_1,lane_2,-0.3938,guide_9_b,b
cell_9_14,donor_1,guide_9,non_targeting,batch_1,lane_3,0.6908,guide_9_a,a
cell_9_15,donor_1,guide_9,non_targeting,batch_1,lane_1,-1.4588,guide_9_b,b
cell_9_16,donor_1,guide_9,non_targeting,batch_1,lane_2,-0.2056,guide_9_a,a
cell_9_17,donor_1,guide_9,non_targeting,batch_1,lane_3,1.0628,guide_9_b,b
cell_9_18,donor_1,guide_9,non_targeting,batch_1,lane_1,0.5939,guide_9_a,a
cell_9_19,donor_1,guide_9,non_targeting,batch_1,lane_2,-0.2906,guide_9_b,b
cell_9_20,donor_1,guide_9,non_targeting,batch_1,lane_3,0.0482,guide_9_a,a
cell_9_21,donor_1,guide_9,non_targeting,batch_1,lane_1,-0.1204,guide_9_b,b
cell_9_22,donor_1,guide_9,non_targeting,batch_1,lane_2,-0.4865,guide_9_a,a
cell_9_23,donor_1,guide_9,non_targeting,batch_1,lane_3,-1.1721,guide_9_b,b
cell_9_24,donor_1,guide_9,non_targeting,batch_1,lane_1,1.8777,guide_9_a,a
cell_9_25,donor_1,guide_9,non_targeting,batch_1,lane_2,-0.1563,guide_9_b,b
cell_9_26,donor_1,guide_9,non_targeting,batch_1,lane_3,2.0081,guide_9_a,a
cell_9_27,donor_1,guide_9,non_targeting,batch_1,lane_1,0.6694,guide_9_b,b
cell_9_28,donor_1,guide_9,non_targeting,batch_1,lane_2,0.1981,guide_9_a,a
cell_9_29,donor_1,guide_9,non_targeting,batch_1,lane_3,-0.5757,guide_9_b,b
cell_9_30,donor_1,guide_9,non_targeting,batch_1,lane_1,0.8736,guide_9_a,a
cell_9_31,donor_1,guide_9,non_targeting,batch_1,lane_2,-0.0571,guide_9_b,b
