gene,u0_c0,u0_c1,u0_c2,u0_c3,u0_c4,u0_c5,u0_c6,u0_c7,u0_c8,u0_c9,u0_c10,u0_c11,u1_c0,u1_c1,u1_c2,u1_c3,u1_c4,u1_c5,u1_c6,u1_c7,u1_c8,u1_c9,u1_c10,u1_c11,u2_c0,u2_c1,u2_c2,u2_c3,u2_c4,u2_c5,u2_c6,u2_c7,u2_c8,u2_c9,u2_c10,u2_c11,u3_c0,u3_c1,u3_c2,u3_c3,u3_c4,u3_c5,u3_c6,u3_c7,u3_c8,u3_c9,u3_c10,u3_c11,u4_c0,u4_c1,u4_c2,u4_c3,u4_c4,u4_c5,u4_c6,u4_c7,u4_c8,u4_c9,u4_c10,u4_c11,u5_c0,u5_c1,u5_c2,u5_c3,u5_c4,u5_c5,u5_c6,u5_c7,u5_c8,u5_c9,u5_c10,u5_c11
MCM5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
MKI67,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
PCNA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
PLK1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
RRM2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
TOP2A,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
TYMS,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
UBE2C,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
ATF3,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6
DNAJB1,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6
DUSP1,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6
EGR1,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6
FOS,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6
FOSB,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6
HSPA1A,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6
HSPA1B,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6
HSPB1,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6
HSPH1,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6
IER2,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6
JUN,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6
JUNB,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6
NR4A1,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6
SOCS3,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6
FILL000,0,0,0,0,0,0,6,0,6,6,6,6,0,0,0,6,6,0,0,0,0,6,0,0,6,0,0,0,6,6,0,0,6,6,0,0,0,0,0,6,0,0,0,0,0,6,6,6,6,0,0,6,6,6,6,6,6,0,0,6,6,6,6,6,6,6,0,6,0,6,6,0
FILL001,0,0,6,6,6,0,0,0,0,6,6,0,0,0,0,6,6,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,6,0,0,6,6,0,6,0,0,0,6,0,0,6,0,0,6,6,0,0,0,0,6,6,0,6,0,6,6,0,6,0,0,0,6
FILL002,6,6,6,6,6,0,0,0,6,6,0,6,6,6,6,0,6,6,6,0,0,0,6,0,0,6,6,6,6,6,6,6,6,6,0,6,0,6,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,6,6,6,0,6,0,0,0,0,6,6,0,0,0,0,0,6,6
FILL003,0,0,6,6,6,0,6,6,6,0,6,6,6,6,0,6,0,0,6,0,0,0,6,6,6,0,6,0,6,0,6,0,0,6,0,0,6,6,0,6,6,6,6,0,6,0,0,6,0,0,6,6,6,6,6,0,0,6,0,6,6,0,0,6,0,0,0,6,0,0,6,0
FILL004,0,6,0,6,0,6,0,0,0,0,6,0,6,0,6,6,6,6,6,6,0,6,0,6,0,6,6,0,6,0,6,6,0,6,0,6,0,6,6,6,6,6,0,0,0,6,6,6,0,0,6,6,6,0,0,6,6,6,0,6,6,6,0,0,6,6,6,6,0,0,0,6
FILL005,0,0,0,0,6,0,0,6,6,0,0,0,6,6,6,6,0,6,6,0,0,0,6,6,6,0,6,6,0,0,0,6,6,0,0,6,0,6,0,6,6,6,6,6,6,6,6,0,6,0,0,6,6,6,6,6,6,0,6,6,6,0,0,6,6,6,6,6,6,0,6,0
FILL006,6,6,0,6,6,6,0,6,6,6,6,0,0,6,0,6,0,0,0,0,0,6,6,0,6,0,6,0,6,0,0,6,6,6,0,6,0,0,6,0,6,6,0,0,0,6,6,0,6,6,6,6,6,0,0,0,0,0,0,0,6,6,6,0,0,6,0,0,6,6,6,6
FILL007,0,6,0,6,0,6,6,0,6,6,0,6,6,6,0,6,6,0,0,6,6,0,0,6,0,6,0,6,0,6,0,6,6,6,0,6,0,0,6,0,6,0,6,0,6,0,6,6,0,0,6,6,6,0,6,6,6,6,0,0,0,0,0,6,6,0,6,6,0,0,0,6
FILL008,6,0,0,0,6,0,6,0,6,6,6,0,6,6,6,6,0,0,6,0,0,6,0,0,6,6,6,6,0,0,0,0,6,6,6,6,6,6,0,6,0,0,6,6,6,0,0,6,6,0,0,0,0,0,0,6,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,6
FILL009,0,0,0,6,6,6,0,0,6,6,6,0,6,6,6,6,6,6,6,0,6,0,6,0,6,0,0,6,0,6,0,6,0,6,0,0,6,0,0,6,0,0,0,0,0,6,6,0,6,6,0,0,0,6,6,6,0,6,0,0,6,6,6,0,0,6,0,0,6,0,0,0
FILL010,0,6,0,6,6,6,6,0,0,0,0,6,6,0,6,0,0,0,0,0,0,6,0,0,6,6,0,6,0,0,6,6,6,6,6,0,0,0,6,0,0,6,0,6,0,6,0,6,6,0,0,6,6,0,6,6,6,0,0,0,6,0,0,6,6,0,0,0,0,0,0,6
FILL011,0,0,0,6,6,6,6,6,6,0,0,6,0,0,6,0,0,0,6,0,6,0,0,6,6,6,6,0,6,6,0,6,6,6,6,6,6,0,0,0,6,6,0,6,6,0,0,6,6,6,0,0,0,6,6,6,6,6,6,6,6,6,6,0,6,0,6,6,6,6,6,6
FILL012,0,6,6,0,0,6,0,0,6,6,6,0,0,6,6,6,6,6,6,0,6,6,0,6,0,0,6,6,0,0,0,0,0,0,6,0,0,6,6,6,6,0,6,0,0,6,0,6,6,0,0,0,6,0,6,0,6,6,6,0,6,0,6,6,0,6,0,0,6,6,6,0
FILL013,6,0,0,6,6,0,0,0,0,6,6,0,6,6,6,0,0,6,0,6,0,6,6,0,0,0,6,0,6,0,0,0,6,6,0,0,6,0,0,6,0,0,0,0,0,0,6,0,6,6,0,6,6,6,6,6,0,0,6,0,0,6,0,6,0,0,6,6,0,6,0,6
FILL014,0,0,0,0,6,6,0,6,6,0,0,6,0,6,6,0,6,0,6,0,6,6,0,6,0,0,6,0,0,0,6,0,6,0,6,6,6,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,6,6,0,6,0,6,0,0,0,6,6,6,6,6,6,6,6,6,0,6
FILL015,6,6,0,6,6,6,6,0,0,6,6,6,6,6,0,0,0,0,0,0,6,0,0,6,6,6,6,0,6,0,0,6,0,0,6,6,6,6,0,0,0,0,0,0,6,0,0,0,6,6,0,6,6,6,6,0,6,6,6,0,6,6,0,6,0,0,0,0,6,0,6,6
FILL016,0,6,0,6,6,0,0,0,6,6,6,6,0,0,6,0,0,6,6,6,0,0,0,0,0,6,0,0,0,0,0,0,6,0,6,6,0,6,6,6,6,0,6,6,6,0,0,6,0,0,0,0,0,6,6,6,0,6,0,6,0,6,6,6,6,6,0,6,0,0,0,0
FILL017,0,6,6,0,6,0,0,6,0,0,0,6,0,6,6,0,6,0,0,0,6,6,6,6,6,6,6,6,0,6,0,0,6,0,0,6,6,0,0,6,6,0,0,6,6,6,6,6,0,0,0,0,6,0,0,6,0,0,0,0,0,0,6,6,0,0,6,0,6,6,0,6
FILL018,0,6,0,6,0,6,6,6,0,0,6,6,0,0,0,6,0,0,0,6,0,0,6,0,0,6,0,0,0,6,6,0,6,0,0,0,0,0,0,6,0,6,6,0,0,6,0,0,0,0,0,0,6,0,0,6,6,6,0,6,0,6,6,0,0,6,6,6,0,6,6,6
FILL019,6,6,6,6,0,6,0,6,6,0,6,6,6,0,0,6,6,0,6,6,0,6,6,6,0,0,0,6,0,6,0,0,0,6,6,6,6,6,0,0,0,6,6,0,6,6,0,0,0,6,0,0,6,0,6,6,6,0,6,6,6,0,6,0,0,6,6,6,0,6,6,6
FILL020,0,0,0,6,6,0,6,6,0,6,0,6,0,6,0,6,6,0,0,6,6,6,0,6,0,0,0,6,0,0,0,6,0,6,0,6,6,0,6,6,0,6,6,6,6,6,6,6,0,6,0,0,0,0,0,0,6,6,0,0,0,0,6,6,0,6,0,0,6,6,6,0
FILL021,0,0,0,0,0,6,6,0,6,6,6,6,0,0,6,0,0,0,0,0,0,6,0,6,6,0,6,0,6,0,0,0,6,0,6,6,0,0,0,6,6,0,6,6,0,6,0,0,6,6,0,6,6,0,0,0,0,0,6,6,6,0,0,6,0,6,0,6,0,6,6,0
FILL022,0,0,6,0,0,0,0,6,6,0,6,6,0,6,0,6,6,0,6,0,0,6,0,6,6,0,0,6,0,6,6,6,0,0,6,0,6,0,6,0,0,6,6,6,0,0,0,6,0,6,6,6,0,6,0,6,6,0,6,6,0,0,0,6,0,0,0,6,6,0,0,6
FILL023,6,0,6,0,6,6,0,6,0,6,6,6,6,0,0,0,0,6,6,0,6,0,0,0,0,6,0,0,0,6,0,0,6,6,6,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,6,0,0,6,6,0,0,6,0,0,0,0,6,0,6,6,0,0,6,6,6,6
FILL024,6,0,6,0,0,6,0,0,0,6,0,6,6,0,6,0,0,0,6,6,6,0,0,6,6,6,0,6,0,0,6,0,0,6,6,6,6,6,6,6,0,6,0,0,0,0,6,0,0,6,0,6,6,6,6,0,6,0,6,0,6,0,6,0,0,0,0,0,0,6,6,0
FILL025,0,6,0,6,0,0,6,6,0,0,0,6,6,6,6,6,6,6,6,6,6,6,0,0,0,6,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,6,0,6,6,6,0,6,0,0,6,0,0,0,6,6,0,6,0,6,6,0,0,6,6,6,0,0,0,0,0
FILL026,0,0,6,0,6,0,0,6,6,6,6,6,0,6,6,6,0,6,0,6,6,6,0,0,6,0,0,0,6,6,6,0,6,6,0,6,6,0,6,6,6,6,0,6,6,6,0,0,0,0,0,6,6,6,0,0,6,0,6,0,6,0,0,0,6,0,0,6,0,0,6,0
FILL027,0,0,6,0,6,0,6,0,0,0,6,6,0,6,0,6,6,6,0,0,6,0,6,0,6,0,6,6,6,0,0,6,0,6,6,6,0,6,6,0,0,0,0,6,0,6,0,6,0,6,6,0,6,6,6,6,6,6,0,6,6,0,6,0,0,0,6,0,6,0,6,6
FILL028,6,0,6,6,0,6,6,6,0,6,0,0,6,6,0,0,0,0,0,6,0,0,6,0,0,0,6,6,6,0,6,6,6,0,6,0,6,0,6,6,6,6,0,6,6,6,0,6,6,0,0,0,6,0,6,6,6,6,0,6,0,6,6,0,0,0,6,0,0,0,0,0
FILL029,0,6,0,0,0,0,6,6,6,0,0,0,0,6,6,6,0,6,6,6,6,6,6,6,0,0,6,6,6,0,6,0,0,0,6,6,6,0,6,6,0,0,6,0,0,0,6,0,0,6,6,0,0,0,6,6,0,6,6,6,0,6,0,6,6,0,6,6,6,0,0,0
FILL030,0,0,0,0,6,0,6,6,0,0,6,6,0,0,0,6,6,0,0,6,0,6,6,6,0,6,6,6,6,6,0,0,6,0,6,6,6,6,6,6,6,0,6,6,0,6,0,6,6,6,6,6,0,0,0,0,6,0,0,0,6,6,0,0,0,6,0,0,6,6,0,0
FILL031,0,0,0,6,0,6,6,6,0,0,6,0,6,6,0,6,6,6,6,6,0,0,0,6,6,0,0,0,6,6,6,0,6,0,6,0,6,6,6,0,6,6,0,0,6,0,6,0,0,6,0,6,6,6,0,6,0,6,6,0,6,6,0,6,0,6,0,6,6,0,6,0
FILL032,0,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,0,0,0,0,0,6,0,0,6,0,6,0,6,0,0,6,0,0,6,0,6,6,0,6,6,0,6,6,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,6,0,6,6,0,6,0,0,0,6,6,0
FILL033,0,6,0,6,6,0,0,6,6,6,6,6,6,6,6,6,0,0,0,6,6,0,0,0,6,6,0,0,6,6,6,6,6,6,0,6,0,6,0,0,0,0,0,6,6,0,0,0,0,6,0,6,6,0,6,0,0,0,0,0,6,6,6,6,0,6,0,0,6,6,6,6
FILL034,6,6,6,6,6,6,0,0,6,6,6,0,6,6,0,0,0,6,0,0,0,6,6,0,0,6,6,6,0,0,0,0,0,0,6,0,0,0,0,6,0,6,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,6,6,6,0,6,6,6,6,0,6,0,6
FILL035,0,0,6,6,0,0,0,6,6,0,0,0,6,0,6,0,0,6,0,0,0,0,0,6,0,6,0,6,6,0,0,6,6,6,0,6,6,6,6,0,6,6,6,0,6,6,0,6,0,0,0,6,0,0,0,6,6,6,6,6,0,6,0,0,0,0,0,6,6,6,0,0
FILL036,0,6,6,0,6,6,0,0,0,6,6,0,0,6,0,0,0,0,0,6,0,6,6,0,6,0,6,0,0,6,6,6,0,0,6,6,0,0,6,6,6,0,0,0,6,6,6,0,6,6,6,6,0,0,6,0,0,0,0,6,0,0,0,0,6,6,0,0,0,0,0,0
FILL037,6,0,0,6,0,6,6,0,6,6,6,0,0,0,0,6,0,0,0,6,6,0,0,0,6,6,0,6,0,6,6,6,0,6,0,6,6,6,6,6,0,0,6,0,6,0,6,6,0,6,6,6,0,0,0,0,6,6,0,0,0,6,6,6,0,0,0,6,0,0,0,6
FILL038,0,6,6,6,0,6,6,0,6,6,0,6,6,0,0,6,6,6,6,6,6,0,6,6,6,0,6,0,0,6,0,0,0,0,6,6,0,0,0,0,6,0,0,6,6,6,0,0,0,6,6,6,6,6,6,6,6,0,6,6,0,0,6,0,0,6,0,6,0,0,6,6
FILL039,0,0,0,6,6,6,0,6,0,6,6,0,6,6,6,6,6,0,6,6,6,0,0,0,0,6,6,0,0,6,0,0,6,6,6,6,6,6,6,6,0,6,6,6,0,6,6,0,0,6,6,0,0,6,6,0,6,6,6,0,0,0,6,0,6,6,6,0,0,6,6,0
FILL040,6,6,6,6,0,6,6,6,6,6,0,0,6,6,0,0,0,6,0,6,0,6,0,6,6,0,6,0,0,6,0,6,0,0,6,6,6,0,0,6,6,0,0,0,6,0,6,0,0,6,0,0,6,6,6,6,6,6,0,0,6,0,0,6,0,6,6,6,6,6,0,6
FILL041,0,6,0,6,0,0,6,0,6,6,6,0,6,0,0,6,0,0,6,0,0,0,0,0,0,6,6,0,6,6,6,0,0,0,6,0,6,6,0,0,6,0,6,0,0,0,6,0,6,0,6,6,0,0,0,0,6,0,6,6,6,6,6,6,6,6,0,0,0,0,0,6
FILL042,0,6,0,6,6,0,6,0,6,0,0,6,6,0,0,0,6,0,0,0,6,6,0,6,0,0,6,6,0,0,0,6,0,6,0,6,6,6,6,6,6,6,6,6,0,6,6,6,0,0,0,6,6,0,6,0,6,0,6,6,6,0,6,6,6,6,0,0,0,0,6,6
FILL043,0,6,0,6,6,6,6,6,0,6,0,6,6,0,6,6,6,6,0,6,6,0,6,6,6,0,0,0,6,0,6,6,0,0,6,0,6,0,0,0,0,6,0,0,6,0,6,6,6,6,0,6,0,6,6,0,0,0,6,6,6,0,6,6,0,0,0,6,0,0,0,0
FILL044,0,6,0,0,6,6,6,6,6,6,6,6,6,0,6,6,6,0,6,6,6,6,0,6,6,6,6,6,6,6,6,6,0,0,0,0,0,6,0,0,0,6,0,0,0,0,6,6,0,6,0,6,6,0,6,6,0,6,6,6,0,6,0,0,0,0,6,0,0,6,6,0
FILL045,0,6,0,6,0,6,0,6,0,6,0,0,6,0,0,0,6,6,0,6,6,6,0,0,0,0,6,6,6,6,6,6,0,0,6,0,0,6,6,6,0,0,0,6,6,6,0,6,0,0,0,6,6,6,6,0,0,0,0,6,0,6,0,6,0,6,0,6,0,0,6,6
FILL046,0,0,0,0,6,0,0,6,6,0,0,6,6,6,6,0,6,0,6,0,6,6,6,0,0,6,0,0,6,6,6,0,0,0,0,6,0,0,6,0,6,6,0,0,6,0,0,0,0,0,0,6,0,0,6,6,6,6,0,0,6,6,6,0,0,6,0,6,6,6,6,6
FILL047,6,6,0,6,0,6,0,0,6,0,6,0,0,0,0,6,6,0,0,6,0,6,6,0,6,6,6,0,6,6,6,0,0,0,6,0,0,6,6,6,0,6,0,0,0,6,0,0,0,6,6,0,0,6,6,0,0,0,6,6,6,0,6,6,0,0,0,6,0,6,6,6
